id,name,summary,description,course_difficulty,course_price,technologies,course_type,courseMeta,courseInfo
14,Belajar Fundamental Aplikasi Android,"Pelajari skill Android dengan kurikulum terlengkap yang dibutuhkan perusahaan. Mulai dari UI/UX, background process, API sampai database.","Android merupakan sistem operasi mobile dengan pengguna terbesar di Indonesia, yakni sekitar 90%. Karena itulah banyak perusahaan yang membuat versi Android-nya supaya lebih dekat dengan pelanggannya, seperti Youtube, Facebook, dan Twitter. Perusahaan kecil pun turut membutuhkan aplikasi Android untuk menyelesaikan masalah yang ada. Ini juga menandakan bahwa kebutuhan akan Android developer semakin meningkat. Tak heran, profesi Android developer merupakan 1 dari 5 profesi yang paling diincar perusahaan.&nbsp; Sebagian besar masyarakat Indonesia memiliki handphone dengan Android sebagai sistem operasinya, ini merupakan potensi yang besar. Android terbukti menjadi solusi untuk permasalahan yang ada di masyarakat, sehingga bisa bermanfaat lebih luas. Banyak perusahaan yang membutuhkan Android Developer namun resource yang ada masih sangat sedikit, bahkan dinyatakan darurat. Menjadi Android Developer merupakan salah satu pekerjaan yang bisa dilakukan secara freelance, sehingga waktunya bisa lebih fleksibel. Android memiliki potensi yang besar untuk menghasilkan uang, seperti melalui iklan Admob, In-App purchase dan membuat proyek aplikasi.&nbsp; Target dan Sasaran Siswa Kelas ditujukan bagi developer yang ingin belajar fundamental pembuatan aplikasi Android, seperti networking dan database, dengan mengacu pada standar kompetensi internasional milik Google Developers Authorized Training Partner.&nbsp; Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan dapat mengoperasikan komputer dengan baik.&nbsp; Kelas ini didesain untuk siswa yang memiliki latar belakang dan pemahaman mengenai pemrograman menggunakan Kotlin atau Java.&nbsp; Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi, karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba.&nbsp; Di akhir kelas, siswa dapat membuat aplikasi yang dapat mengambil data dari Web API dan menyimpan data favorit menggunakan database lokal.",Menengah,PAID,Android,Picodiploma,"['140 Jam', '4,84', 'Menengah']","['107 Modul', '41.831 Siswa Terdaftar']"
32,Belajar Membangun LINE Chatbot,Belajar membuat chatbot yang menarik pada platform LINE dengan menggunakan fitur-fitur dari LINE Messaging API.,"LINE merupakan platform komunikasi yang sangat diminati oleh banyak orang terutama di kalangan remaja. Menurut data statistik yang dihimpun oleh &nbsp; Business for Apps , LINE memiliki jumlah pengguna aktif bulanan hingga 167 juta orang berdasarkan 4 negara pengguna teratas yaitu Jepang, Taiwan, Thailand, dan Indonesia. Pengguna aktif bulanan aplikasi LINE di Indonesia hingga kuartal ketiga tahun 2020 berkisar 13 juta orang. Jumlah pengguna ini terbesar ke empat setelah Jepang, Taiwan, dan Thailand. LINE juga memiliki LINE Chatbot yang memungkinkan Anda untuk membuat chat berbasis bot yang dapat dijalankan di platform LINE. Chatbot adalah percapakap otomatis yang dapat dipakai oleh akun brand atau bisnis untuk menciptakan kehadiran layanan selama 24 jam dalam berbagai pilihan bahasa dan jenis produk. Materi di kelas ini disusun oleh Dicoding dan LINE API Expert dengan kurikulum yang didesain untuk Anda yang ingin belajar tentang LINE Messaging API, seperti Reply Message, Push Message, Group/Room Chat, dan masih banyak lagi. Kelebihan dari LINE Chatbot yaitu dapat dibagikan ke teman-teman dalam grup atau secara personal. Kenapa saya harus belajar kelas ini? Anda dapat membangun sebuah chatbot yang berjalan di atas platform LINE. LINE Chatbot mudah untuk dibagikan ke orang lain. Chatbot mampu mengurangi beban customer service yang dilakukan secara manual. LINE Messaging API memiliki fitur bermacam-macam, seperti Reply Message, Push Message, Flex Message, Multicast Message, dll. Chatbot Anda bisa mendapat eksposur lebih banyak karena LINE memiliki kurang lebih 90 juta pengguna di Indonesia. Prasyarat mengikuti kelas ini adalah: Akan lebih baik jika Anda sudah memiliki dasar tentang bahasa pemrograman Java dan PHP. Bahasa Java bisa Anda pelajari di kelas Memulai Pemrograman Dengan Java . Anda harus mandiri, berkomitmen, benar-benar punya rasa ingin tahu dan tertarik pada subjek. Anda harus gigih, temukan topik yang menarik, bermain-main dan mengotak-atik kode Anda. Sebaik apa pun materi struktur kelas ini, tak akan berguna tanpa keseriusan Anda untuk belajar, berlatih, dan mencoba.",Pemula,PAID,"Android,Chatbot,Web",Reguler,"['20 Jam', '4,89', 'Pemula']","['26 Modul', '15.478 Siswa Terdaftar']"
51,Belajar Membuat Aplikasi Android untuk Pemula,"Buat aplikasi pertamamu pada Android Studio dengan mempelajari dasar Activity, Intent, View & ViewGroup, Style & Theme sampai RecyclerView.","Android merupakan sistem operasi mobile dengan pengguna terbesar di Indonesia, yakni sekitar 90%. Karena itulah banyak perusahaan yang membuat versi Android-nya supaya lebih dekat dengan pelanggannya, seperti Youtube, Facebook, dan Twitter. Perusahaan kecil pun turut membutuhkan aplikasi Android untuk menyelesaikan masalah yang ada. Ini juga menandakan bahwa kebutuhan akan Android developer semakin meningkat. Tak heran, profesi Android developer merupakan 1 dari 5 profesi yang paling diincar perusahaan. Sebagian besar masyarakat Indonesia memiliki handphone dengan Android sebagai sistem operasinya, ini merupakan potensi yang besar. Android terbukti menjadi solusi untuk permasalahan yang ada di masyarakat, sehingga bisa bermanfaat lebih luas. Banyak perusahaan yang membutuhkan Android Developer namun resource yang ada masih sangat sedikit, bahkan dinyatakan darurat. Menjadi Android Developer merupakan salah satu pekerjaan yang bisa dilakukan secara freelance, sehingga waktunya bisa lebih fleksibel. Android memiliki potensi yang besar untuk menghasilkan uang, seperti melalui iklan Admob, In-App purchase dan membuat proyek aplikasi. Target dan Sasaran Siswa Kelas ini ditujukan bagi pemula yang ingin memulai karirnya di bidang Android Developer dengan mengacu pada standar kompetensi internasional milik Google. Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan dapat mengoperasikan komputer dengan baik.&nbsp; Kelas ini didesain untuk siswa yang memiliki latar belakang dan pemahaman mengenai pemrograman menggunakan Kotlin atau Java.&nbsp; Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi, karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba.&nbsp; Di akhir kelas, siswa dapat membuat aplikasi Android yang dapat menampilkan list dan detail data.",Pemula,PAID,Android,Reguler,"['60 Jam', '4,87', 'Pemula']","['49 Modul', '116.344 Siswa Terdaftar']"
60,Memulai Pemrograman Dengan Java,Belajar bahasa Java buat kamu yang ingin mempelajari konsep Pemrograman Berorientasi Objek (PBO) terpopuler untuk mengembangkan aplikasi.,"Java merupakan bahasa yang diciptakan oleh James Gosling di tahun 1990-an. Java muncul sebagai bahasa yang dapat dijalankan di berbagai platform tanpa perlu re-kompilasi. Berdasarkan TIOBE Programming Community Index, Java masih merupakan salah satu bahasa pemrograman terpopuler di dunia. Oracle menyatakan 90% perusahaan terkemuka pada daftar Fortune 500 pernah menggunakan bahasa Java. Selain itu, Java juga dapat digunakan untuk mengembangkan aplikasi pada platform desktop, web, mobile, embedded, dan IoT. &nbsp; Bahasa Java merupakan bahasa terpopuler yang pernah digunakan oleh 90% perusahaan ternama. Dengan bahasa Java, Anda dapat mengembangkan aplikasi untuk platform desktop, web, mobile, hingga embedded dan IoT. Siapa pun Anda, jika ingin menjadi Java Developer harus memiliki pengetahuan dasar pemrograman Java seperti Java Dasar, Control Flow, Collection Type, dan Object-Oriented Programming. Penggunaan bahasa Java itu gratis (open source), sehingga siapa saja dapat mempelajari dan menggunakannya. Berdasarkan TIOBE Programming Community Index, Java masih menjadi salah satu bahasa pemrograman terpopuler di dunia.&nbsp; Target dan Sasaran Siswa Kelas ini ditujukan untuk pemula yang ingin mempelajari dasar pemrograman bahasa Java dengan mengacu pada standar industri. Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan dapat mengoperasikan komputer dengan baik. Kelas ini didesain untuk pemula sehingga tidak ada prasyarat dalam pemahaman pemrograman sebelumnya. Namun, akan lebih baik jika memiliki pengetahuan dasar tentang pemrograman. Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi, karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba. Di akhir kelas, siswa dapat membuat program Java dengan menggunakan IDE Intellij Idea atau IDE Online seperti Glot.io atau Replit.",Dasar,FREE,"Android,Multi Platform",Reguler,"['15 Jam', '4,86', 'Dasar']","['42 Modul', '80.316 Siswa Terdaftar']"
80,Memulai Pemrograman dengan Kotlin,"Pelajari dasar bahasa pemrograman, functional programming, object-oriented programming (OOP), serta concurrency dengan menggunakan Kotlin.","Kotlin merupakan bahasa utama yang digunakan dalam pengembangan Android saat ini. Hal ini karena manfaat yang diberikan seperti ringkas, cepat, dan aman. Selain itu, sifatnya yang interoperability membuat developer bisa beralih dari bahasa Java ke Kotlin dengan cepat. Tak ayal, Google pernah melaporkan hampir 80% dari 1000 aplikasi teratas di Play Store menggunakan Kotlin. Selain pengembangan Android, Kotlin dapat digunakan untuk berbagai macam pengembangan, baik itu server, back-end, maupun website. Materi relevan dengan tools dan framework yang banyak dipakai sekarang. &nbsp; Dengan menggunakan Kotlin pengembangan aplikasi akan jauh lebih cepat.&nbsp; Pengembangan aplikasi menggunakan Kotlin bisa berjalan bersamaan dengan Java dalam satu project.&nbsp; Kotlin menjadi bahasa resmi yang direkomendasikan dalam pengembangan Android.&nbsp; Kotlin juga dapat digunakan untuk pengembangan platform selain seperti server, back-end, dan website. Target dan Sasaran Siswa Kelas ini ditujukan bagi yang ingin belajar dasar bahasa pemrograman Kotlin dengan mengacu pada standar kompetensi internasional milik Google Developers Authorized Training Partner. &nbsp; Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan dapat mengoperasikan komputer dengan baik.&nbsp; Kelas ini didesain untuk pemula sehingga tidak ada prasyarat dalam pemahaman pemrograman sebelumnya. Namun lulus dari kelas dan akan mempermudah pembelajaran.&nbsp; Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi, karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba.&nbsp; Di akhir kelas, siswa paham tentang konsep dasar bahasa pemrograman, functional programming, serta object-oriented programming (OOP) dengan menggunakan Kotlin.","Dasar,Pemula",PAID,"Android,Multi Platform",Reguler,"['50 Jam', '4,84', 'Dasar - Pemula']","['132 Modul', '59.512 Siswa Terdaftar']"
86,Memulai Pemrograman dengan Python,Pelajari dasar pemrograman Python hingga library populer yang menjadi landasan tren industri seperti data science dan machine learning.,"Python adalah bahasa pemrograman interpretatif yang dapat digunakan di berbagai platform dengan filosofi perancangan yang berfokus pada tingkat keterbacaan kode dan merupakan bahasa populer yang berkaitan dengan Data Science dan Machine Learning. Keunggulan Python yang bersifat interpretatif juga banyak digunakan untuk prototyping, scripting dalam pengelolaan infrastruktur, hingga pembuatan website berskala besar. Dengan kemudahan Python tersebut, sering dijadikan bahasa pertama untuk belajar pemrograman.&nbsp; Bahasa Python menjadi keharusan untuk Anda yang ingin mempelajari dasar-dasar pemrograman, mulai dari scripting, pengolahan data, hingga machine learning. Bahasa Python digunakan secara luas dan masuk dalam bahasa pemrograman populer beberapa tahun belakangan. Pustaka (library) yang luas, memungkinkan Anda mengembangkan ke bidang-bidang lainnya. Beberapa library atau framework terpopuler data science dan machine learning menggunakan Python antara lain: Scikit-Learn, TensorFlow, PyTorch. Bahasa Python memiliki kurva pembelajaran (learning-curve) yang sangat landai, cocok untuk dipelajari sebagai bahasa pemrograman pertama - dengan kemudahan pembacaan dan kemudahan mempelajari sintaksisnya. Target dan Sasaran Siswa Kelas ditujukan bagi pemula yang ingin belajar dasar pemrograman Python dengan mengacu pada standar industri. Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan dapat mengoperasikan komputer dengan baik. Kelas ini didesain untuk pemula sehingga tidak ada prasyarat khusus dalam pemahaman pemrograman sebelumnya. Namun, memiliki pengetahuan matematika dasar dan logika pemrograman akan mempermudah pembelajaran. Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi, karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba. Di akhir kelas, siswa mampu membuat program dengan Python menggunakan berbagai IDE yang telah dipelajari, seperti Visual Studio Code, Jupyter Notebook, dan Google Colaboratory.&nbsp;",Dasar,PAID,"Data,Machine Learning",Reguler,"['35 Jam', '4,80', 'Dasar']","['91 Modul', '114.158 Siswa Terdaftar']"
120,Memulai Pemrograman Dengan C,Belajar programming menggunakan bahasa C yang menjadi populer dikarenakan cepat dan mudah untuk dipelajari bagi para pemula.,"Bahasa C adalah bahasa prosedural yang memiliki banyak kegunaan. Ia didesain untuk di-compile secara sederhana agar mendukung akses ke low-level memory, pendukung bahasa dalam instruksi mesin. Meskipun didesain secara minimal, C bisa digunakan sebagai bahasa multi-platform. Menurut GitHub, C adalah 1 dari 10 bahasa pemrogramman terbaik. Bahasa C sangatlah cocok bagi Anda yang ingin masuk ke dunia programming. Oleh karena itu, bahasa C sering digunakan sebagai bahasa pertama untuk belajar pemrograman.&nbsp; Cocok bagi Anda yang belum pernah belajar bahasa pemrograman apa pun, karena C termasuk bahasa yang mudah untuk dipelajari. Bahasa C bisa menjadi pijakan utama sebelum Anda belajar bahasa populer seperti C++/C#. Bahasa C adalah bahasa yang multi-platform. Bagi Anda yang tertarik dengan menggeluti programming di sistem hardware, C adalah salah satu bahasa yang direkomendasikan karena runtime-nya cepat. Bahasa C masih relevan dengan kebutuhan industri saat ini. Bahasa C menjadi salah satu dari 10 bahasa terbaik menurut GitHub. Target dan Sasaran Siswa Kelas ini ditujukan untuk pemula yang ingin mempelajari dasar pemrograman bahasa C dengan mengacu pada standar industri. Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan dapat mengoperasikan komputer dengan baik. Kelas ini didesain untuk pemula sehingga tidak ada prasyarat dalam pemahaman pemrograman sebelumnya. Namun, akan lebih baik jika memiliki pengetahuan dasar tentang pemrograman. Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi, karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba. Di akhir kelas, siswa dapat membuat program C dengan menggunakan IDE Online seperti Glot.io atau Replit.",Dasar,FREE,Multi Platform,Reguler,"['15 Jam', '4,85', 'Dasar']","['48 Modul', '50.060 Siswa Terdaftar']"
123,Belajar Dasar Pemrograman Web,Pelajari komponen-komponen dasar HTML dan CSS yang merupakan fondasi utama untuk menjadi front-end web developer.,"Website di era sekarang sudah menjadi kebutuhan utama yang tidak bisa diabaikan. Seluruh sektor bisnis atau edukasi dapat memanfaatkan website sebagai alat untuk promosi, tukar informasi, dan lainnya. Berdasarkan data dari World Wide Web Technology Surveys, dari seluruh website yang aktif, 88.2% menggunakan HTML dan 95.6% menggunakan CSS. Kelas ini membahas tuntas mengenai HTML dan CSS sebagai fondasi dalam pembuatan website. Web merupakan platform yang dapat diakses melalui banyak macam perangkat. Hal ini menjadi keuntungan jika Anda mengembangkan aplikasi berbasis web. Pengembangan web tidak membutuhkan komputer/laptop yang memiliki spesifikasi tinggi sehingga bukan menjadi hambatan utama bagi Anda yang tidak memiliki perangkat yang mumpuni. Website adalah platform yang dijangkau oleh banyak Search Engine seperti Google Search sehingga sangat cocok sebagai media promosi bisnis atau konten. Mengembangkan website termasuk pengembangan yang mudah di-maintenance dan mudah untuk dipublikasi. Target dan Sasaran Siswa :&nbsp; Kelas ditujukan bagi pemula yang ingin memulai karirnya di bidang web development (pembuatan web) dan membutuhkan dasar atau fondasi yang kuat sebelum belajar lebih dalam di bidang web, dengan mengacu pada standar internasional milik Google Developers.&nbsp; Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan dapat mengoperasikan komputer dengan baik. Kelas ini didesain untuk pemula sehingga tidak ada prasyarat dalam pemahaman pemrograman sebelumnya.&nbsp; Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi, karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba. Tujuan Umum dan Khusus Pelatihan :&nbsp; Di akhir pelatihan, peserta dapat membuat sebuah website sederhana menggunakan kode pemrograman yang sesuai standar global. Membangun website menggunakan HTML dan CSS.. Menerapkan struktur website yang baik menggunakan standar semantic HTML.&nbsp; Mendemonstrasikan penyusunan layout website menggunakan teknik float atau flexbox.","Dasar,Pemula",PAID,Web,Reguler,"['45 Jam', '4,87', 'Dasar - Pemula']","['131 Modul', '179.110 Siswa Terdaftar']"
133,Menjadi Google Cloud Engineer,Pelajari konsep dan terminologi cloud computing beserta penjelasan berbagai layanan yang tersedia di Google Cloud.,"Cloud computing merupakan hard skill yang banyak dibutuhkan oleh industri. Banyak organisasi yang telah memindahkan beban kerjanya ke cloud. Google Cloud memungkinkan Anda menjalankan aplikasi di infrastruktur yang sama dengan aplikasi populer dari Google, seperti Youtube dan Gmail. Google Cloud memiliki puluhan region dan ratusan zone yang tersebar di seluruh dunia. Google Cloud juga digunakan oleh perusahaan di banyak industri seperti GoJek, eBay, dan ANA.&nbsp; Cloud computing merupakan hard skill yang banyak dibutuhkan industri. Google Cloud memungkinan Anda mengembangkan aplikasi di infrastruktur yang sama dengan aplikasi populer dari Google, seperti Google Search, Youtube, Google Drive, dll. Google Cloud memiliki keamanan yang top. Google sudah memiliki pengalaman dalam hal keamanan selama 15 tahun di produknya, seperti Gmail dan Google Apps.&nbsp; Target dan Sasaran Siswa Kelas ditujukan bagi siswa yang ingin belajar cloud computing, khususnya Google Cloud, dengan mengacu pada standar industri. Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan mampu mengoperasikan komputer dengan baik. Kelas ini didesain untuk level menengah dalam bidang cloud computing sehingga siswa wajib memahami dasar-dasar cloud dan diharapkan memiliki pemahaman mengenai pengembangan aplikasi. Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi. Karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba. Di akhir kelas, siswa mampu menguasai layanan-layanan Google Cloud dan menggunakannya untuk menciptakan solusi cloud.",Menengah,PAID,"Cloud Computing,Web",Picodiploma,"['42 Jam', '4,87', 'Menengah']","['85 Modul', '8.729 Siswa Terdaftar']"
145,Memulai Pemrograman Dengan Swift,"Belajar bahasa Swift buat kamu yang ingin mempelajari konsep dasar pemrograman dalam mengembangkan aplikasi iOS, iPadOS, dan macOS.","Sejak dikenalkan di Apple Wordwide Developer Conference (WWDC) pada tahun 2014, Swift menjadi bahasa resmi yang dikembangkan oleh Apple Inc untuk pengembangan aplikasi iOS, iPadOs, masOS, wathcOS, tvOS, dan linux. Swift merupakan bahasa pemrograman yang modern, cepat, dan type-safe. Selain itu, Swift merupakan hasil pengembangan dari bahasa Objective-C, sehingga ia lebih mudah dipelajari dan dibaca. Tidak ada keraguan bahwa pecinta Swift akan terus tumbuh dalam waktu dekat dan mungkin Anda salah satunya.&nbsp; Swift merupakan bahasa resmi dari Apple Inc. untuk membangun aplikasi iOS, iPadOs, macOS, watchOS, tvOS, dan Linux. Swift akan membantu Anda selama proses pengembangan aplikasi iOS. Swift merupakah bahasa pemrograman yang modern, cepat, dan type-safe. Swift merupakan hasil pengembangan dari bahasa Objective-C, dapat dikatakan Objective-C tanpa C. Oleh karena itu, bahasa pemrograman Swift lebih mudah dibaca dan dipelajari dibandingkan Objective-C. Target dan Sasaran Siswa Kelas ditujukan bagi pemula yang ingin belajar dasar bahasa pemrograman Swift dengan mengacu pada standar industri. Kelas dapat diikuti oleh siswa yang melek IT sehingga wajib memiliki dan dapat mengoperasikan komputer dengan baik. Kelas ini didesain untuk pemula sehingga tidak ada prasyarat dalam pemahaman pemrograman sebelumnya. Namun lulus dari kelas dan akan mempermudah pembelajaran. Siswa harus bisa belajar mandiri, berkomitmen, benar-benar punya rasa ingin tahu, dan tertarik pada subjek materi, karena sebaik apa pun materi kelas ini, tidak akan berguna tanpa keseriusan siswa untuk belajar, berlatih, dan mencoba. Di akhir kelas, siswa dapat membuat program Swift dengan menggunakan IDE Xcode atau IDE Online seperti Glot.io atau Replit.",Dasar,PAID,iOS,Reguler,"['40 Jam', '4,84', 'Dasar']","['95 Modul', '8.113 Siswa Terdaftar']"
