id,keyword
4,JavaScript
9,Java
14,Python
19,Kotlin
24,PHP
29,C++
34,C-Sharp
39,C
44,Jetpack
49,Unity
54,Construct 2
59,Progressive Web Apps
64,Swift
69,Augmented Reality
74,Virtual Reality
79,Microsoft Azure
84,Google Cloud
89,Amazon Web Services
94,Source Code Management
99,Flutter
104,IBM Watson
109,HTML
114,CSS
119,Internet of Things
123,Unity 3D
128,Android
137,Python
141,MySQL
146,TCP/IP
151,UI/UX Research
159,Photoshop
164,CorelDRAW
169,Service PC
179,Linux
184,Laravel
189,Sistem Operasi
191,Visual Basic
199,C-Sharp
204,pw
205,3D Modeller
210,Autodesk Maya
215,Blender
217,Networking
222,System Administration
227,SQL
232,JSON
234,Pemrograman
236,Camtasia
240,Microsoft Office
245,Team Work
260,Web
265,Game
269,MySQL Database
270,Delphi
272,Cloud Computing
275,ReactJS
280,Node.js
282,C-Sharp
285,AJAX
290,CodeIgniter
295,Construct
299,HTML
304,Photoshop
309,Photoshop
314,core
316,Adobe XD
318,Vue.js
338,Video Editor
343,Fotografi
346,PHP
349,C dan C++
354,Corel
361,Vegas
363,Bootstrap
365,Minitab
370,SPSS
374,PostgreSQL
376,Illustrator
377,Pascal
387,Database
389,Dart
394,Inkscape
401,Adobe XD
414,Word
419,Excel
424,PowerPoint
429,UI
434,UX
439,Frontend
442,XML
445,Technical Support
447,C#
452,ASP.NET
454,FoxPro
459,Bahasa C
466,Editing Video
471,Fotographer
472,Premiere Pro
477,Editing Video
482,Videographer
487,Microcontroller
492,Arduino
497,Raspberry
502,C#
506,Visual Studio
515,Server
518,JavaScript
522,Statistik
534,Adobe Illustrator
535,MATLAB
536,MATLAB
541,Visual Basic
545,jQuery
550,Animasi
555,Jaringan
557,Praktisi IT
559,Adobe Premiere
562,Machine Learning
567,Deep Learning
572,Natural Language Processing
575,Software Engineering
580,Database Design
585,Go
589,Image Processing
592,Premiere
594,React Native
599,Firebase
600,Network
605,VB6
610,3ds Max
615,Computer Vision
617,Vegas Pro
622,After Effect
627,HTML CSS
632,Fruity Loop
634,Azure
639,GCP
644,DevOps Tools
657,Adobe Illustrator
658,HTML5
664,Blender 3D
668,SQLite Database
673,Social Media
676,Menulis
681,Power BI
686,Excel
691,Data Analytics
696,Data Visualization
701,Tableau
703,R
708,Octave
713,Maxima
718,LaTeX
719,ArcGIS
724,ENVI
729,QGIS
730,Elektronika
734,User Interface
739,User Experience
744,Illustration
749,Java
752,ASP
757,Oracle
762,SQL Server
767,VB
768,Bash
773,JMeter
777,Juniper
782,Cisco
787,Ruckus Wireless
790,Flutter
793,Windows Form
795,VB.NET
798,Dasar QBASIC
803,Dasar HTML
806,UI/UX Design
811,Figma
816,Adobe XD
821,UXPin
826,Adobe Photoshop
831,Adobe Illustrator
836,Sony Vegas
841,Adobe Premiere
842,Go
845,Microsoft Office
847,Microsoft Office
852,Office
857,Swift 4
862,SQLite
867,iOS
874,AutoCAD
879,3D Modeling
884,Design
889,Animator
894,Construct
896,Git
901,GitHub
905,Photoscape
907,Dasar Pemrograman PH
909,Microsoft Excel
916,Docker
921,Technical Computer
922,Music Editor Servis
924,HTML 5
932,Minimum Viable Product
934,SketchUp
939,Microsoft Office
940,Polymer
942,Animate
947,Figma Design
952,Fortigate
957,Cisco Mikrotik
959,Web Designer
960,Android Studio
962,React
967,React Native
972,Adobe Premiere Pro
977,Adobe Photoshop
984,Mikrotik
989,Programming Arduino
994,Django
999,Basic Programming
1003,Vue.js
1007,ETAP
1012,Proteus
1017,Linux
1019,SAP
1022,VBA
1025,Design Grafis
1027,UI/UX Design
1030,Ruby
1035,Ruby on Rails
1038,Backend
1043,RESTful API
1049,REST
1051,HTML Dasar
1054,Cybersecurity
1058,Desain Grafis
1063,Video Editing
1067,Dasar Pemrograman Web
1072,LAN Network
1076,UI Design
1078,React.js
1083,Node.js
1085,VB.NET
1087,3D Modeling
1102,dagang
1109,Data Science
1114,.NET Core
1119,Vue.js
1124,AngularJS
1129,After Effect
1130,Shell
1132,UI/UX
1134,Adobe Illustrator
1135,NoSQL
1140,MongoDB
1144,Android Objek
1153,Bootstrap
1156,Analisis Statistik
1161,CodeIgniter
1164,ActionScript 2
1169,C++
1170,Search Engine Optimization
1175,Facebook Ads
1180,Front End
1185,Java NetBeans
1190,CodeIgniter 3
1191,Dart
1196,Kotlin
1201,React.js
1206,Node.js
1211,Express.js
1213,Web Development
1215,Mission Planner
1220,Cisco Packet Tracer
1224,Gaming
1227,Filmora
1229,Web Developer
1234,Thunkable
1237,Android
1241,programme
1245,Yii2
1247,ExpressJS
1252,Android
1257,Webix
1259,Visual Studio Code
1261,Geographic Information System
1262,Big Data
1265,Responsive Web
1272,Spring
1277,Struts
1282,Eclipse
1287,Menggambar
1292,Kerajinan
1293,Python
1297,IT Support
1302,Bash Php Networking
1307,Coding Dasar
1312,Hadoop
1317,Kubernetes
1322,Rocket
1327,Autocad Atoll Rps Pr
1330,Leadership
1344,Redis
1349,Elasticsearch
1353,Basic Pemograman
1356,Photoshop
1361,Jaringan Komputer
1363,Unity Engine
1365,Adobe Audition
1370,Otomotif
1375,Pendidikan
1379,Data Analysis
1384,RStudio
1388,WebGIS
1393,Surveying
1398,Mapping
1403,Adobe Flash
1408,Java Beginner
1413,JavaFX Java Swing
1418,InDesign
1420,sq
1423,Debian Server
1424,Adobe Premiere
1429,vMix
1434,Microsoft Office
1439,Illustrator
1444,Premiere Pro
1449,Office
1450,Routing
1455,Switching
1460,Border Gateway Protocol
1465,Metro Ethernet
1470,RStudio
1473,Editing
1478,Strategi Bisnis
1483,Marketing
1488,VPN
1493,Firewall
1494,Graph 6
1499,Programmable Logic Controller
1504,LabVIEW
1509,Basic Photoshop Knowledge
1514,Knowledge Html Css
1518,PHP Native
1519,Microsoft Office Word
1524,Microsoft Office PowerPoint
1525,Materialize CSS
1529,System Administrator
1534,KineMaster
1537,Hardware
1542,without
1547,Programmer
1552,Design
1555,Jaringan Dasar
1557,Internet of Things
1562,MS Office
1567,Electro
1572,Electronika
1574,Teknik
1579,IT Essential
1580,WordPress
1583,Retrofit2
1584,Computer Hardware
1587,Website
1592,Desktop
1597,Augmented Reality
1602,Virtual Reality
1604,Ionic
1605,Adobe Illustrator
1610,Adobe After Effect
1615,Javascript Basic
1620,Basic Node.js
1625,Web Developer
1626,Basic Python
1631,Basic C++
1636,Basic Java
1639,CSS
1644,Fotografi
1649,bpmn
1654,Analisa Bisnis
1657,Polymer.js
1660,Masih Tahap Belajar
1665,JavaScript
1669,Adobe Premiere
1671,Ansible
1676,GitLab CI
1681,CentOS
1686,Ubuntu
1691,Virtualization
1696,QBasic
1703,Photography
1704,JavaScript
1709,CorelDRAW
1714,Sony Vegas Pro
1715,Software Development Kit
1720,Dagger
1725,Koin
1728,Videografi
1733,Digital Imaging
1738,User Interface User Experience
1739,PRTG
1744,MRTG
1745,Android Native
1749,MySQLi
1753,Adobe Photoshop
1754,Web Services
1758,Visual Basic
1763,Video
1768,Photographer
1773,Adobe After Effect
1774,Mikrotik VirtualBox
1775,JDev
1779,Adobe Animate
1780,Data Definition Language
1785,Oracle Database
1790,Flash
1791,Analyzing Data
1795,SCSS
1796,.NET
1799,Xamarin Android
1803,PostgreSQL
1804,Graphic Design
1809,GIMP
1810,SolidWorks
1812,REST API
1815,FortiGate
1820,Windows Server
1825,Linux Server
1830,VMware ESXi
1831,HTML
1834,Bootstrap 4
1835,Adobe Premiere Pro
1840,Lightroom
1845,Visual Studio
1846,Rails
1848,Fullstack Programmer
1853,Mobile Developer
1855,PHP Native
1860,PHP Laravel
1869,Statistics
1874,Data Mining
1875,Spriter
1880,Game Developer
1882,Socket
1884,Teknisi Laptop
1889,Desain Grafis
1890,Visual Basic .NET
1892,WooCommerce
1897,Google Analytics
1902,Google Tag Manager
1905,Wondershare Filmora
1910,Computer Repair
1915,System Installation
1920,Software Installation
1924,Writing
1928,Web Design
1929,Copywriting
1934,Content Strategy
1936,Webmethods
1941,Integration Server
1946,Middleware
1951,esb
1954,Mathematics Teacher
1959,ActionScript
1963,Angular
1964,Odoo
1969,Java Beginner
1974,Adobe After Effect
1975,Komputer Grafis
1980,3D Design
1985,2D Design
1990,Bahasa Jepang
1995,Artwork
2000,Mic
2002,Cinematic
2004,Network Engineer
2009,Server Administrator
2018,Macromedia Flash
2023,Android Java
2028,PHP Codigniter
2033,Lumen API
2037,TensorFlow
2039,LAN Jaringan
2040,SDLC DFD Balsamiq Mo
2045,Adobe XD
2046,Cloud
2047,Visual Basic 6
2052,ASP.NET
2053,C#
2055,"Unity, Photoshop, Java"
2060,After Effects
2068,Visual Basic .NET
2073,SAP Data Services
2074,Content Management System
2083,Computer Systems
2086,Advanced Business Application Programming
2091,Enterprise Resource Planning
2096,Customer Relationship Management
2100,"Node.js, Express.js"
2102,Rekayasa Perangkat Lunak
2105,Project Management
2110,Security
2114,TypeScript
2121,belajar
2123,Graphic Designer
2128,Analisis Komunikasi
2133,Desain Komunikasi
2138,Public Speaking
2143,Reciting Quran
2153,Basic Android
2156,Desain Graphic
2159,Infrastructure
2160,ColdFusion
2165,HTML
2170,CSS
2175,Javascript
2180,Ajax
2185,CodeIgniter
2188,Administration
2192,Pemrograman Web
2197,Cloud Infrastructure
2201,REST API
2203,IT Essentials
2204,Academy
2208,Web Design
2209,Audacity
2216,Typing
2225,MySQL HTML Bootstrap
2226,Troubleshooting Komputer
2230,Premiere Pro
2236,Bisnis
2237,Yii Framework
2241,Vegas Pro
2245,WordPress Development
2250,Macromedia Flash
2255,Node.js
2260,Excel
2265,PowerPoint
2275,Traffic Manajemen
2280,Editor
2285,Content Creator
2290,Aplikasi Dekstop
2295,Dasar Java
2298,Konfigurasi Jaringan
2299,Windows
2304,Routing and Switching
2305,Angular 8
2307,MVVM Architecture
2312,Unit Test
2313,CAD
2317,Framework
2318,Keras
2323,TensorFlow
2326,SAP2000
2331,Revit Structure
2336,Microsoft Project
2344,Web Mobile Programming
2349,PHP Java XML
2350,HTML CSS JavaScript
2354,Assembly
2359,BASIC
2366,Karnaugh Map
2371,DOSBox
2373,Adobe After Effects
2378,Multimedia
2379,Memahami Basic HTML
2383,Network Security
2389,Komputer
2391,Google Suite
2395,Dasar Dasar HTML dan
2398,HTML
2402,CorelDRAW
2405,Editing
2410,computer-literacy
2411,English
2414,Premiere Pro
2417,Telekomunikasi
2422,Fiber Optic
2427,Management
2430,ReactJS
2435,PHPMySQL
2439,Sketchbook
2440,Adobe Illustration
2443,Data Analyst
2445,Data Visualisation
2450,Data Analyst
2454,Adobe Premiere
2455,Network Administrator
2459,Rekayasa Kebutuhan
2464,Amazon Web Services
2466,Unified Modeling Language
2470,GameMaker Language
2471,Scilab
2475,Katalon Studio
2480,Robot Framework
2485,Automation Testing
2490,API Testing
2495,Test Case
2500,Jira
2504,Eagle
2510,C++
2515,Penetration Testing
2519,UI Design
2524,Adobe After Effects
2526,Linux
2534,Continuous Integration
2536,Web Framework
2541,3D Blender
2543,"Web, SQL, JavaScript, PHP"
2547,Object-Oriented Programming
2550,Greenfoot
2555,CODU
2560,Code::Blocks
2565,RAPTOR
2570,"HTML, PHP"
2574,"PHP, Pascal, JavaScript"
2577,Cucumber Framework
2579,SAP BW
2584,Talend
2585,"Basic HTML, CSS"
2590,PostgreSQL
2593,Wireshark
2594,Bootstrap 4
2596,CodeIgniter
2597,CSS3
2602,Research
2607,Analysis
2612,Renewable Energy
2617,FMCG
2622,GMP
2623,Designer
2625,Back End
2630,Maintenance Electric
2635,Maintenance Mechanic
2640,Enterprise Architect
2645,Axure
2650,Agile Scrum
2655,Pencil Project
2660,Activity Diagram
2665,Use Case
2669,MATLAB
2674,C++
2679,Mission Planner
2682,draw.io
2687,Airtable
2692,Trello
2693,Routing Switching
2698,Fiber Optic
2703,Express
2706,Adobe Premiere Pro CC
2708,Kubernetes Docker
2720,Filmmaker
2724,Analisa Keuangan
2729,Maintenance
2734,Repair
2739,Troubleshooting
2744,Blender 3D
2754,MySQLi Database
2758,Manajemen
2760,C++
2768,"HTML, CSS, PHP, MySQL"
2769,Fiber
2774,Nirkabel
2779,Wireless
2780,Xamarin
2784,Fortran
2785,"HTML, CSS, JavaScript"
2790,Materialize
2794,Desktop Programming
2796,Experience Design
2798,Postman
2803,Software Testing
2804,Networking Sysadmin
2808,ProtoPie
2813,UML Diagram
2814,Fusion 360
2819,InduSoft SCADA
2820,Yii2 Framework
2824,Python
2829,UX Design
2834,UI Design
2841,Premiere Pro
2848,Bootstrap
2855,Frontend Web
2861,Premiere Pro
2867,Debian
2877,"PHP, HTML, CSS, jQuery"
2880,Content Creator
2886,Entrepreneur
2892,Penetration Test
2895,Sublime Text 3
2896,Begadang
2902,QA Analytic
2916,Interaction Design
2923,UIUX Design
2930,User Interface Design
2936,Business Intelligence
2941,Web Coding
2948,Basic R
2954,Microservice
2959,amxmodx
2966,pawn
2976,Android (Java)
2983,Desain Web
2990,Desain Web
2997,Jointingcore
3001,MTCNA
3008,Linux Ubuntu
3014,Slim Framework
3024,Product Management
3025,GlobalMapper
3031,Photoshop Dasar
3038,Pemrograman Web Dasar
3045,Java Dasar
3052,Power Designer
3057,Sound Recording
3064,After Effect
3071,Finalcut
3074,Junior Network Admin
3081,Junior Web Developer
3087,Airflow
3094,Metabase
3095,Photoshop
3102,Adobe Premiere Pro
3108,Adobe Photoshop
3115,Zeplin
3122,AutoCAD 2D 3D
3135,Swarm Intelligence
3138,Photoshop
3145,Permesinan
3149,Bot
3152,MuleSoft
3159,Hardware Maintainer
3166,OS Modifier
3173,MediBang Paint Pro
3180,FL Studio
3187,Sentiment Analysis
3188,R Script
3195,Unity 2D
3198,Electrical
3205,Mechanical
3209,Microsoft Word
3216,Microsoft PowerPoint
3222,Clip Studio Paint
3229,macOS
3236,WordPress Design
3243,Django
3250,Java Desktop
3251,Android Studio
3258,Videography
3265,PHP Dasar
3271,Troubleshoot
3278,Design Graphic
3279,BLoC
3282,Autodesk Inventor
3289,Service-Oriented Architecture
3296,Oracle Service Bus
3303,Open Applications Group
3310,Business Process Execution Language
3317,JDeveloper
3324,WebLogic
3327,Unity 3D
3334,Adobe Animation
3341,Premiere Pro
3342,Web Apps Developer
3349,Mobile Apps Developer
3356,Desktop Apps Developer
3363,Bahasa Inggris
3370,Public Relation
3376,Editor Video
3383,Microsoft Office
3387,Windows
3391,phpMyAdmin
3394,Adobe Illustrator
3397,Measurement Tool
3404,Adobe Premiere Pro
3411,Xcode
3415,IT Support
3422,Programming Android
3429,Java Web
3433,Algoritma
3439,Full Office
3446,Computing
3453,Codeigniter
3460,SCM VMI Analyst Bizm
3461,Haskell
3464,Pemrogramman
3467,Software
3474,Security
3481,Voice
3482,Mechatronics
3489,Electronics
3496,Autodesk Eagle
3506,Instalasi OS
3510,WebAPI
3516,Front End Web
3517,Design Network
3523,Cordova
3524,Operating System
3527,Automation Test
3534,QAOps
3541,Performance Test
3548,Selenium
3555,Chef
3566,Software Aplikasi
3580,Software Development
3587,Jaringan Lan
3594,Merakit Komputer
3600,Live2D
3607,Business
3613,Bootstrap Javascript
3614,CodeIgniter
3618,Bash Scripting
3621,JavaScript
3628,CorelDRAW
3630,Automate BPA
3634,DevOps
3637,Illustrator
3644,Data Studio
3650,Descriptive Analytic
3651,C/C++
3658,Linux Administrator
3665,Database
3672,Microsoft SQL Server
3679,Visual Studio
3684,Nuxt
3690,NodeMCU
3697,Robot
3699,Next.js
3706,Data
3711,ANSYS
3718,Inventor
3734,Soft Skill
3737,Adobe Photoshop
3752,ElectronJS
3757,After Effect
3764,Mikrotik Router
3768,Adobe After Effects
3773,Basic R Programming
3777,JavaScript NodeJS
3782,Digital Marketing
3790,SQL Server
3798,Switching ATM
3807,Operational Bank
3814,Android Studio
3817,Java Programming
3822,Micros
3823,OpenCV
3827,Menulis Artikel
3832,CorelDRAW
3837,IDL
3845,Balsamiq
3850,Java Dasar HTML dan CSS
3853,Delphi 7
3862,Web Programming
3863,EViews
3868,ArcView
3872,Basket
3877,Design
3881,CSS HTML PHP Photoshop
3887,Bisa Instalasi Aplikasi
3897,Data Management
3902,Word
3907,Lumion
3912,Komunikasi
3917,Kerjasama
3922,Marketing
3927,Eviews
3932,QM for Windows v5
3937,Visual Studio Code
3942,Mengajar
3947,Zend Framework
3952,Menginstal
3957,Filmora
3962,Access Point
3967,Pemrograman C
3972,Picsart
3977,Coding Matlab
3982,Coding Fortran
3987,Pemula
3997,Pentaho
4002,Big Data Systems
4003,Augmented Reality
4007,Photos
4012,Branding Designer
4017,Game Development
4022,Web Development
4027,3D Modelling
4032,Virtual Reality
4037,Adobe Premiere Pro
4042,Angular 8
4047,Wireless
4052,Microsoft
4057,Optical
4062,Telecommunication
4072,Retrofit
4077,Model View ViewModel
4082,Construct2
4087,Scrum
4092,ProModel
4097,AutoCAD 2D
4102,Microsoft Visual
4107,Microkontroller
4112,Project Manajemen
4117,Analisis
4127,Pramuka
4132,Lazarus
4137,Cypress
4142,COBIT
4147,Android Basic
4152,Linux User
4157,Computer Technician
4162,Computer Repairer
4167,Frontend Web
4172,WordPress
4177,Audit TI
4182,SEO Content Creator
4187,nginx
4192,Varnish
4197,FreeBSD
4202,GitLab CI/CD
4207,Unreal Engine
4212,Switching
4217,Logo Design
4222,Web Designer
4227,Web Programmer
4232,Graphic Designer
